,Consumption of fuels,,,,,,,Production of derived fuels,
,Black coal,"Wood, woodwaste",Petroleum products b,Natural gas,Town gas,Electricity,Solar energy,Town gas,Thermal electricity
,kt,kt,ML,Mcm,Mcm,GWh,GWh,Mcm,GWh
1989-90,2.00,1953.00,10638.00,6551.00,31.00,38226.00,35.00,31.00,36926.00
1990-91,0.20,1960.00,10459.00,5825.00,32.00,38476.00,35.00,32.00,37961.00
1991-92,0.20,1981.00,10455.00,6048.00,34.00,38907.00,38.00,34.00,38057.00
1992-93,0.20,2031.00,10785.00,6215.00,35.00,39642.00,39.00,35.00,37174.00
1993-94,0.20,2106.00,11213.00,5955.00,20.00,39229.00,39.00,20.00,38459.00
1994-95,0.20,2110.00,11567.00,6596.00,21.00,40229.00,42.00,21.00,40388.00
1995-96,0.20,2141.00,11832.00,6685.00,22.00,40062.00,42.00,22.00,41159.00
1996-97,0.20,2154.00,11868.00,6079.00,22.00,41145.00,42.00,22.00,43121.00
1997-98,0.20,2088.00,12210.00,6100.00,22.00,44258.00,42.00,22.00,49287.00
1998-99,0.20,2078.00,12563.00,5936.00,22.00,46782.00,42.00,44.00,50583.00
1999-00,0.20,2062.00,12823.00,5986.00,22.00,47576.00,42.00,44.00,51222.00
2000-01,0.60,2003.00,11322.00,6358.00,14.00,52153.00,43.00,14.00,51306.00
2001-02,0.50,1995.00,11680.00,6483.00,14.00,53091.00,43.00,14.00,50806.00
2002-03,0.30,1891.70,11563.50,6513.20,15.90,49323.30,48.90,14.40,51234.80
2003-04,1.10,1849.90,12558.30,6826.30,14.90,49972.40,46.10,14.40,51594.70
2004-05,2.10,1804.50,12720.20,6818.40,15.10,50642.70,47.50,14.40,51081.10
2005-06,2.20,1734.30,12758.70,6805.30,14.10,51893.00,45.20,14.10,50161.50
2006-07,2.30,1690.30,12872.40,6821.10,13.90,53668.60,100.40,10.80,50862.90
2007-08,2.40,1637.70,12872.90,7089.50,9.20,53416.80,174.90,8.10,54073.20
2008-09,2.40,1504.70,12432.60,7352.60,5.60,53184.10,292.10,6.10,55925.80
2009-10,2.30,1496.70,12566.40,7126.30,3.50,54622.20,467.00,4.50,53660.00
2010-11,2.30,1472.60,12908.00,6992.10,4.00,51775.00,540.00,3.40,52848.60
2011-12,2.30,1515.20,12491.90,7123.70,1.40,52386.80,595.50,2.60,53983.70
2012-13,2.30,1556.60,13182.60,7460.50,1.10,51036.60,654.10,0.00,49428.20
2013-14,2.30,1586.60,13666.50,7557.90,1.10,49513.40,658.70,0.00,48261.60